politician,threshold,spearman_rho,kendall_tau
Elly Schlein,2,0.16208,0.18392
Elly Schlein,3,0.30887,0.27588
Elly Schlein,4,0.085367,0.113666
Giorgia Meloni,2,0.054879,0.068199
Giorgia Meloni,3,-0.024391,0.022733
Giorgia Meloni,4,-0.024391,0.022733
Giuseppe Conte,2,0.085367,0.068199
Giuseppe Conte,3,0.085367,0.068199
Giuseppe Conte,4,0.152442,0.159132
antoniotajani,2,0.0,-0.022733
antoniotajani,3,0.027523,0.04598
antoniotajani,4,0.260736,0.209302
carlocalenda,2,0.152442,0.113666
carlocalenda,3,0.152442,0.113666
carlocalenda,4,0.152442,0.113666
matteorenzi,2,-0.024391,0.022733
matteorenzi,3,-0.024391,0.022733
matteorenzi,4,-0.045872,0.0
matteosalviniofficial,2,-0.231712,-0.159132
matteosalviniofficial,3,-0.302475,-0.23531
matteosalviniofficial,4,-0.201836,-0.16093
nicolafratoianni,2,0.236196,0.209302
nicolafratoianni,3,0.280493,0.250065
nicolafratoianni,4,0.36586,0.340997
silviasalis,2,0.15854,0.204598
silviasalis,3,0.170735,0.159132
silviasalis,4,0.214724,0.209302
