politician,threshold,topic,youth_rank,coverage,rank
Elly Schlein,2,Democrazia e legalità,8.5,0.7289,1.0
Elly Schlein,2,Lavoro e economia,2.0,0.4197,2.0
Elly Schlein,2,Costo della vita,3.5,0.2791,3.5
Elly Schlein,2,Difesa e sicurezza,7.0,0.2791,3.5
Elly Schlein,2,Salute e welfare,3.5,0.2731,5.0
Elly Schlein,2,Istruzione e formazione,5.0,0.1466,6.0
Elly Schlein,2,Uguaglianza di genere,6.0,0.1265,7.0
Elly Schlein,2,Immigrazione,8.5,0.0823,8.0
Elly Schlein,2,Ambiente e clima,1.0,0.0783,9.0
Elly Schlein,2,Abitazione,10.0,0.0743,10.0
Elly Schlein,3,Democrazia e legalità,8.5,0.5663,1.0
Elly Schlein,3,Lavoro e economia,2.0,0.3554,2.0
Elly Schlein,3,Salute e welfare,3.5,0.2249,3.0
Elly Schlein,3,Costo della vita,3.5,0.2048,4.0
Elly Schlein,3,Difesa e sicurezza,7.0,0.1968,5.0
Elly Schlein,3,Istruzione e formazione,5.0,0.1145,6.0
Elly Schlein,3,Uguaglianza di genere,6.0,0.0984,7.0
Elly Schlein,3,Ambiente e clima,1.0,0.0683,8.0
Elly Schlein,3,Immigrazione,8.5,0.0602,9.5
Elly Schlein,3,Abitazione,10.0,0.0602,9.5
Elly Schlein,4,Democrazia e legalità,8.5,0.3153,1.0
Elly Schlein,4,Lavoro e economia,2.0,0.251,2.0
Elly Schlein,4,Salute e welfare,3.5,0.1305,3.0
Elly Schlein,4,Costo della vita,3.5,0.1084,4.0
Elly Schlein,4,Difesa e sicurezza,7.0,0.0763,5.0
Elly Schlein,4,Uguaglianza di genere,6.0,0.0622,6.0
Elly Schlein,4,Istruzione e formazione,5.0,0.0462,7.0
Elly Schlein,4,Abitazione,10.0,0.0341,8.0
Elly Schlein,4,Immigrazione,8.5,0.0301,9.0
Elly Schlein,4,Ambiente e clima,1.0,0.0241,10.0
Giorgia Meloni,2,Democrazia e legalità,8.5,0.5242,1.0
Giorgia Meloni,2,Difesa e sicurezza,7.0,0.3848,2.0
Giorgia Meloni,2,Lavoro e economia,2.0,0.3697,3.0
Giorgia Meloni,2,Salute e welfare,3.5,0.1091,4.0
Giorgia Meloni,2,Immigrazione,8.5,0.097,5.0
Giorgia Meloni,2,Costo della vita,3.5,0.0909,6.0
Giorgia Meloni,2,Ambiente e clima,1.0,0.0848,7.0
Giorgia Meloni,2,Istruzione e formazione,5.0,0.0667,8.0
Giorgia Meloni,2,Uguaglianza di genere,6.0,0.0333,9.0
Giorgia Meloni,2,Abitazione,10.0,0.0303,10.0
Giorgia Meloni,3,Democrazia e legalità,8.5,0.3667,1.0
Giorgia Meloni,3,Difesa e sicurezza,7.0,0.3182,2.0
Giorgia Meloni,3,Lavoro e economia,2.0,0.3121,3.0
Giorgia Meloni,3,Immigrazione,8.5,0.0788,4.0
Giorgia Meloni,3,Salute e welfare,3.5,0.0727,5.0
Giorgia Meloni,3,Ambiente e clima,1.0,0.0697,6.0
Giorgia Meloni,3,Costo della vita,3.5,0.0545,7.0
Giorgia Meloni,3,Istruzione e formazione,5.0,0.0515,8.0
Giorgia Meloni,3,Abitazione,10.0,0.0242,9.0
Giorgia Meloni,3,Uguaglianza di genere,6.0,0.0121,10.0
Giorgia Meloni,4,Difesa e sicurezza,7.0,0.2394,1.0
Giorgia Meloni,4,Democrazia e legalità,8.5,0.1788,2.0
Giorgia Meloni,4,Lavoro e economia,2.0,0.1727,3.0
Giorgia Meloni,4,Immigrazione,8.5,0.0576,4.0
Giorgia Meloni,4,Costo della vita,3.5,0.0303,5.0
Giorgia Meloni,4,Ambiente e clima,1.0,0.0242,6.0
Giorgia Meloni,4,Istruzione e formazione,5.0,0.0212,7.0
Giorgia Meloni,4,Salute e welfare,3.5,0.0182,8.0
Giorgia Meloni,4,Abitazione,10.0,0.0152,9.0
