folder_id,type,language,ambiente_clima,lavoro_economia,costo_vita,salute_welfare,istruzione_formazione,uguaglianza_genere,difesa_sicurezza,immigrazione,democrazia_legalita,abitazione,keywords,sentiment,propaganda
2025-09-01_001,image,it,1,1,1,1,1,1,1,1,3,1,Ben Gvir;Global Sumud Flotilla;aiuti umanitari;Palestinesi;diritto internazionale;Netanyahu,negative,high
2025-09-01_002,image,it,1,1,1,1,1,1,1,1,1,1,Marche;Democratico;matteo.ricci74,neutral,none
2025-09-01_003,image,it,1,1,1,1,1,1,2,1,5,1,Festa dell'Unità;Varese;antifascista;svastiche;storia;legalità,negative,high
2025-09-02_001,image,it,1,1,1,1,1,1,1,1,1,1,Fabriano;Potenza Picena;Marche;Matteo Ricci;vincere,positive,high
2025-09-02_002,image,it,1,1,1,5,1,1,1,1,1,1,sanità pubblica;liste di attesa;migrazione sanitaria;sanità universalistica;Ospedale Torrette;Marche,negative,high
2025-09-02_003,image,it,1,1,1,1,1,1,1,1,3,1,Feste dell'Unità;volontari;PD;passione politica;impegno;comunità,positive,low
2025-09-03_001,image,it,1,1,1,1,1,1,3,1,2,1,missione umanitaria;Gaza;aiuti umanitari;sicurezza equipaggio;diritto internazionale;Presidente del Consiglio,positive,low
2025-09-05_001,image,it,1,1,1,1,1,1,1,1,1,1,Puglia;vincere;Forza;Antonio Decaro,positive,high
2025-09-05_002,image,it,1,1,1,1,1,3,1,3,2,1,Festa dell'Unità;visione globale;cooperazione;diritti umani;asilo;confronto internazionale,positive,low
2025-09-06_001,image,it,1,1,1,1,1,1,1,1,3,1,Partito Democratico;Feste dell'Unità;comunità politica;volontari;celebrazione;memoria,positive,high
2025-09-07_001,image,it,3,4,1,3,1,1,1,1,1,1,Valle d'Aosta;Partito Democratico;elezioni;sanità pubblica;lavoro di qualità;transizione energetica,positive,medium
2025-09-07_002,image,it,1,1,1,1,1,1,1,1,1,1,Mondiali di Pallavolo;vittoria;squadra;campionesse;allenatore,positive,none
2025-09-07_003,image,it,1,5,5,5,1,1,1,1,3,1,carovita;bollette;salario minimo;sanità;produzione industriale;energia;PNRR;coalizione,negative,high
2025-09-08_001,image,it,4,3,1,1,1,1,1,1,1,1,Slow Food;territorio;agricoltori;biodiversità;giustizia climatica;Pollenzo,positive,none
2025-09-08_002,image,it,1,1,1,1,1,1,1,1,1,1,Feste dell'Unità;volontari;Torino;Bra;Veneto;Partito,neutral,none
2025-09-09_001,video,it,1,1,1,1,1,1,1,1,4,1,coalizione progressista;elezioni;Costituzione;antifascista;Veneto;Partito Democratico,positive,high
2025-09-09_002,image,it,1,1,1,1,1,1,1,1,1,1,Marche;candidato presidente;S.Benedetto del Tronto;ASGOLIPICEND;Pan Democratic,neutral,low
2025-09-09_003,image,it,1,1,1,1,1,1,1,1,1,1,Treviso;Padova;Veneto;candidato presidente;Giovanni Manildo;candidati al Consiglio,positive,high
2025-09-09_005,video,it,1,1,1,1,1,1,1,1,1,1,Solidarietà;Global Sumud Flotilla;missione umanitaria;Unione europea;governi,positive,low
2025-09-10_001,image,it,1,1,1,1,1,1,1,1,1,1,Marche;elezioni;Matteo Ricci;destra;Acquaroli;Meloni,positive,high
2025-09-10_002,image,it,1,1,1,1,1,1,1,1,1,1,Calabria;Catanzaro;Lido;orari,neutral,none
2025-09-11_001,video,it,1,1,1,1,1,1,1,1,2,1,Pasquale;libertà,positive,low
2025-09-11_002,video,it,1,2,2,5,1,1,1,1,3,1,sanità pubblica;tagli;privatizzazione;liste d'attesa;medici e infermieri;case della comunità;diritto alla salute,negative,medium
2025-09-11_003,video,it,1,1,1,1,1,1,1,1,1,1,Calabria;candidato presidente;Pasquale Tridico;giornata,neutral,low
2025-09-11_004,video,it,1,1,3,5,4,1,1,1,2,1,coalizione progressista;sanità pubblica;università pubblica;tagli fondi;liste d'attesa;assistenza sanitaria,negative,high
2025-09-12_001,image,it,1,1,1,1,1,2,1,1,1,1,Jacinda Ardern;leadership empatica;progressiste;Partito laburista-Groenlinks;Festa dell'Unità,positive,low
2025-09-12_003,video,it,1,4,1,1,3,1,1,1,1,1,Calabria;borgo;spopolamento;solidarietà;lavoro;turismo;rinascere,positive,low
2025-09-13_001,image,it,1,1,1,1,1,1,1,1,1,1,elezioni regionali;Marche;alleanza del cambiamento;proposte per il futuro;Matteo Ricci;sosteneteci,positive,high
2025-09-13_002,video,it,1,4,1,3,3,2,1,1,3,1,Festa dell'Unità;progressisti europei;legislazione di emergenza;lavoro;diritto alla salute;diritto alla scuola;Costituzione antifascista,positive,high
2025-09-14_001,image,it,1,1,1,1,1,1,1,1,1,1,unità;divisione;vincere;politica,positive,low
2025-09-14_003,image,it,1,1,1,1,1,1,1,1,3,1,Reggio Emilia;festa nazionale;Segretaria Elly N Schlein;Democratico;chiusura,neutral,low
2025-09-15_001,video,it,1,1,1,1,1,1,1,1,2,1,coalizione progressista;unità;elezioni politiche;polemiche;Partito Democratico;Italia antifascista,positive,medium
2025-09-16_001,image,it,1,1,1,2,1,1,4,1,4,1,Gaza;aiuti umanitari;occupazione illegale;crimini di guerra;Netanyahu;genocidio;sanzioni,negative,high
2025-09-17_001,image,it,1,1,1,1,1,1,1,1,1,1,Marche;Matteo Ricci;vincere;Presidente,positive,high
2025-09-17_002,video,it,1,1,1,1,1,1,1,1,1,1,piazza;matteo.ricci74;forza;famiglia;sopravvivere,positive,low
2025-09-17_004,video,it,1,1,1,1,1,1,2,1,5,1,giustizia italiana;magistratura;indipendenza giudici;controllo politico;garanzie processuali;PNRR,negative,high
2025-09-17_005,video,it,1,3,3,3,1,3,2,3,5,1,riforma giustizia;magistratura;separazione carriere;indipendenza giudiziaria;diritto;costituzione;potere politico,negative,high
2025-09-18_001,image,it,1,5,3,1,1,2,1,1,2,3,licenziamento collettivo;Yoox;lavoratrici;ammortizzatori sociali;Patto per il lavoro;dignità,negative,medium
2025-09-18_002,video,it,1,4,3,4,1,2,1,1,2,1,salario minimo;poveri;sanità pubblica;Marche;diritti delle donne;risorse sanità,negative,medium
2025-09-19_001,image,it,1,1,1,1,1,1,1,1,4,1,Bologna;Cgil;Gaza;Israele;Palestina;sanzioni;Parlamento;Meloni,negative,medium
